                             component depth     class                                 name     pass    total
 TTJets_SingleLeptFromTbar_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  3325659  4639307
 TTJets_SingleLeptFromTbar_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  2946890  3325659
 TTJets_SingleLeptFromTbar_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  2946890  2946890
 TTJets_SingleLeptFromTbar_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  2946890  2946890
 TTJets_SingleLeptFromTbar_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  2802900  2946890
 TTJets_SingleLeptFromTbar_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  2724564  2802900
 TTJets_SingleLeptFromTbar_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"   524345  2724564
 TTJets_SingleLeptFromTbar_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"    48687   524345
 TTJets_SingleLeptFromTbar_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"    39944    48687
                    TTJets_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"  6328258  9475270
                    TTJets_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  5250069  6328258
                    TTJets_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  4658533  5250069
                    TTJets_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  4658533  4658533
                    TTJets_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  4658533  4658533
                    TTJets_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  4477747  4658533
                    TTJets_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  4371280  4477747
                    TTJets_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"  1245096  4371280
                    TTJets_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"    20992  1245096
                    TTJets_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"    16922    20992
     WJetsToLNu_HT100to200_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"  2413246  3917227
     WJetsToLNu_HT100to200_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  1850635  2413246
     WJetsToLNu_HT100to200_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  1696524  1850635
     WJetsToLNu_HT100to200_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  1696524  1696524
     WJetsToLNu_HT100to200_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  1696524  1696524
     WJetsToLNu_HT100to200_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  1449421  1696524
     WJetsToLNu_HT100to200_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  1371872  1449421
     WJetsToLNu_HT100to200_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"      633  1371872
     WJetsToLNu_HT100to200_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"        7      633
     WJetsToLNu_HT100to200_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"        5        7
     WJetsToLNu_HT200to400_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"  2205655  4114221
     WJetsToLNu_HT200to400_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  1748104  2205655
     WJetsToLNu_HT200to400_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  1501259  1748104
     WJetsToLNu_HT200to400_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  1501259  1501259
     WJetsToLNu_HT200to400_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  1501259  1501259
     WJetsToLNu_HT200to400_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  1357382  1501259
     WJetsToLNu_HT200to400_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  1307527  1357382
     WJetsToLNu_HT200to400_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"    42336  1307527
     WJetsToLNu_HT200to400_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"     2667    42336
     WJetsToLNu_HT200to400_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"     2463     2667
     WJetsToLNu_HT400to600_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"   938123  1899859
     WJetsToLNu_HT400to600_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"   736538   938123
     WJetsToLNu_HT400to600_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"   634991   736538
     WJetsToLNu_HT400to600_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"   634991   634991
     WJetsToLNu_HT400to600_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"   634991   634991
     WJetsToLNu_HT400to600_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"   599978   634991
     WJetsToLNu_HT400to600_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"   580228   599978
     WJetsToLNu_HT400to600_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"   432863   580228
     WJetsToLNu_HT400to600_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"    43930   432863
     WJetsToLNu_HT400to600_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"    39654    43930
     WJetsToLNu_HT600to800_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"  1727544  3669262
